id,title,description,jhi_date,user_id
1,Visionary secondary architecture,,2018-08-01 19:16:53,4
2,Optimized empowering model,,2018-09-06 23:12:05,4
3,Exclusive 6th generation encoding,Curabitur convallis.,2018-08-22 10:40:34,4
4,Mandatory zero tolerance concept,Aliquam erat volutpat.,2018-05-11 05:45:17,4
5,Versatile grid-enabled circuit,Vivamus in felis eu sapien cursus vestibulum.,2018-10-27 04:10:15,4
6,Face to face actuating implementation,Praesent blandit.,2019-04-29 14:06:34,4
7,Monitored high-level product,,2019-04-14 02:06:01,4
8,Profit-focused scalable installation,,2019-02-12 02:27:43,4
9,Organized needs-based challenge,In sagittis dui vel nisl.,2018-10-19 22:25:59,4
10,Cross-platform client-driven utilisation,,2019-04-05 13:38:33,4
11,Stand-alone radical protocol,,2019-02-08 19:35:14,4
12,Realigned systematic budgetary management,Integer non velit.,2018-08-02 14:26:48,4
13,Focused tertiary open system,,2018-10-01 00:42:58,4
14,User-centric transitional function,,2018-08-19 18:05:10,4
15,Virtual content-based concept,Cras non velit nec nisi vulputate nonummy.,2018-05-31 05:56:29,4
16,Proactive leading edge extranet,Curabitur convallis.,2019-04-17 21:42:43,4
17,Customizable uniform capability,,2018-11-05 18:50:49,4
18,Total web-enabled matrices,Proin interdum mauris non ligula pellentesque ultr,2019-03-02 21:24:42,4
19,Advanced eco-centric intranet,,2018-06-01 02:27:20,4
20,Open-source mobile strategy,"Vivamus metus arcu, adipiscing molestie, hendrerit",2019-01-11 05:41:19,4
21,Down-sized dynamic policy,,2019-05-04 10:51:47,4
22,Polarised user-facing migration,,2019-03-30 20:28:17,4
23,Business-focused human-resource moratorium,,2019-05-05 20:32:24,4
24,Programmable multimedia function,,2019-03-08 05:38:51,4
25,Grass-roots high-level internet solution,Phasellus in felis.,2019-03-11 04:15:38,4
26,Enterprise-wide empowering help-desk,,2019-03-23 11:14:18,4
27,Innovative clear-thinking extranet,Cras pellentesque volutpat dui.,2018-08-26 11:11:45,4
28,Synergized real-time success,,2018-06-10 18:39:20,4
29,Networked maximized instruction set,,2019-05-07 08:38:51,4
30,Digitized real-time array,,2019-03-14 06:30:05,4
31,Multi-lateral next generation alliance,,2018-06-11 04:24:17,4
32,Cloned didactic portal,,2019-04-24 03:19:47,4
33,Distributed bottom-line software,,2019-03-10 15:41:52,4
34,Extended multi-tasking toolset,,2018-12-29 22:50:57,4
35,Streamlined national archive,,2018-10-02 01:29:50,4
36,Exclusive mobile approach,Nam dui.,2018-12-11 12:48:34,4
37,Reduced homogeneous open system,Nulla suscipit ligula in lacus.,2018-09-06 01:01:55,4
38,Customer-focused intangible open architecture,Donec vitae nisi.,2018-12-06 23:44:43,4
39,Re-contextualized radical standardization,,2019-01-03 10:13:17,4
40,Enhanced systemic knowledge base,Morbi quis tortor id nulla ultrices aliquet.,2018-08-17 19:40:39,4
41,Mandatory transitional software,,2018-07-31 15:23:46,4
42,Future-proofed well-modulated open system,"Maecenas tristique, est et tempus semper, est quam",2019-03-26 20:52:31,4
43,Triple-buffered multi-tasking service-desk,"Lorem ipsum dolor sit amet, consectetuer adipiscin",2019-02-23 11:36:26,4
44,Grass-roots grid-enabled leverage,,2018-05-22 11:39:23,4
45,Open-architected even-keeled parallelism,Sed vel enim sit amet nunc viverra dapibus.,2018-05-18 15:21:39,4
46,Exclusive object-oriented attitude,In hac habitasse platea dictumst.,2019-04-09 00:55:31,4
47,Managed non-volatile projection,,2019-04-13 21:04:28,4
48,Automated grid-enabled encryption,,2018-11-12 06:53:42,4
49,Networked neutral neural-net,"Morbi vestibulum, velit id pretium iaculis, diam e",2018-06-16 15:50:56,4
50,Synergized background methodology,,2019-04-01 08:46:12,4
51,Networked motivating focus group,,2019-05-10 15:52:45,4
52,Assimilated well-modulated focus group,,2018-07-19 16:18:00,4
53,Versatile mobile capability,,2018-06-01 19:02:42,4
54,Upgradable coherent strategy,"Morbi odio odio, elementum eu, interdum eu, tincid",2018-12-16 15:31:33,4
55,Progressive tangible collaboration,Nulla suscipit ligula in lacus.,2018-11-08 09:28:21,4
56,Integrated executive definition,Curabitur gravida nisi at nibh.,2019-04-10 16:24:47,4
57,Operative 6th generation process improvement,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pul",2018-07-15 23:22:47,4
58,Pre-emptive didactic ability,Vestibulum ante ipsum primis in faucibus orci luct,2019-04-16 00:36:47,4
59,Monitored logistical secured line,,2018-11-15 13:51:08,4
60,Team-oriented zero defect hardware,,2018-07-09 15:47:36,4
61,Re-engineered clear-thinking methodology,,2018-10-26 22:33:38,4
62,Team-oriented 24 hour hardware,,2018-11-05 01:15:32,4
63,Optimized leading edge Graphic Interface,"Quisque erat eros, viverra eget, congue eget, semp",2018-05-17 06:04:49,4
64,Visionary zero defect toolset,,2019-05-02 21:57:15,4
65,Devolved 3rd generation pricing structure,Curabitur at ipsum ac tellus semper interdum.,2019-04-21 13:24:58,4
66,Team-oriented cohesive service-desk,,2018-07-08 02:03:10,4
67,Proactive context-sensitive core,,2018-12-30 00:36:08,4
68,Intuitive 5th generation analyzer,Pellentesque at nulla.,2018-09-08 06:01:45,4
69,Universal global framework,,2019-01-13 09:15:17,4
70,Cloned 24/7 local area network,,2018-12-18 08:45:56,4
71,Secured zero administration array,Aliquam sit amet diam in magna bibendum imperdiet.,2018-07-10 17:24:13,4
72,Devolved composite definition,Duis mattis egestas metus.,2019-02-28 22:48:02,4
73,Compatible 6th generation portal,,2018-11-20 09:03:16,4
74,Managed tangible open architecture,,2018-09-17 03:43:00,4
75,Up-sized holistic parallelism,,2019-01-31 04:01:18,4
76,Advanced bandwidth-monitored support,Integer ac neque.,2019-01-16 06:27:54,4
77,Expanded incremental product,Sed ante.,2019-03-09 17:29:44,4
78,User-friendly systematic monitoring,Nulla justo.,2018-05-27 16:35:55,4
79,Focused background contingency,,2019-02-04 07:29:13,4
80,Polarised motivating productivity,,2018-07-29 18:01:13,4
81,Synchronised content-based flexibility,Duis ac nibh.,2018-12-01 23:04:43,4
82,Quality-focused contextually-based interface,Aliquam quis turpis eget elit sodales scelerisque.,2019-03-27 14:49:35,4
83,Secured dedicated analyzer,,2018-11-11 21:00:15,4
84,Cloned didactic open system,Aenean lectus.,2019-01-20 00:16:44,4
85,Team-oriented reciprocal process improvement,,2018-08-22 07:23:15,4
86,Progressive client-server hardware,,2018-10-07 08:50:58,4
87,Automated well-modulated contingency,Cras in purus eu magna vulputate luctus.,2018-10-17 11:36:17,4
88,Inverse reciprocal product,Aenean lectus.,2018-12-25 16:00:09,4
89,Customizable user-facing algorithm,In blandit ultrices enim.,2019-04-04 22:27:07,4
90,Cross-platform needs-based internet solution,,2019-02-03 00:53:25,4
91,Managed client-driven local area network,,2019-01-23 16:06:09,4
92,Reverse-engineered user-facing system engine,,2018-10-12 15:03:27,4
93,Object-based encompassing software,Aenean sit amet justo.,2019-03-17 07:42:55,4
94,Multi-channelled bifurcated open system,Sed vel enim sit amet nunc viverra dapibus.,2019-03-17 07:14:44,4
95,Customizable composite circuit,,2018-07-16 20:31:40,4
96,Seamless uniform core,Nulla mollis molestie lorem.,2018-11-19 14:21:01,4
97,Switchable bifurcated system engine,Duis consequat dui nec nisi volutpat eleifend.,2018-10-31 02:27:45,4
98,Multi-tiered even-keeled toolset,,2018-12-17 01:32:14,4
99,Organic coherent strategy,"Lorem ipsum dolor sit amet, consectetuer adipiscin",2018-11-25 08:02:12,4
100,Secured asymmetric archive,Aenean sit amet justo.,2018-11-15 03:22:25,4
101,Mandatory systematic monitoring,Ut at dolor quis odio consequat varius.,2018-10-11 05:33:31,4
102,Profound analyzing service-desk,,2018-07-19 14:37:31,4
103,Persevering transitional structure,,2018-12-10 06:20:22,4
104,Polarised fresh-thinking process improvement,,2019-04-10 04:57:03,4
105,Public-key zero administration core,,2018-06-16 22:04:49,4
106,Extended object-oriented capability,,2018-07-24 23:24:43,4
107,Synergistic responsive leverage,,2019-01-15 06:54:38,4
108,Reduced tertiary benchmark,Duis aliquam convallis nunc.,2019-02-06 10:18:52,4
109,Multi-tiered systematic access,,2019-02-14 23:26:37,4
110,Intuitive explicit frame,,2019-02-01 23:47:03,4
111,Distributed contextually-based knowledge base,,2019-03-26 16:41:22,4
112,Right-sized zero tolerance infrastructure,Suspendisse potenti.,2018-09-04 19:58:53,4
113,Open-architected optimizing superstructure,Sed ante.,2018-12-17 02:49:44,4
114,Cross-group real-time approach,,2019-01-01 11:22:03,4
115,Innovative multi-tasking knowledge base,,2018-06-26 08:39:15,4
116,Managed 4th generation alliance,Suspendisse ornare consequat lectus.,2019-01-15 06:06:28,4
117,Focused actuating workforce,Suspendisse potenti.,2018-08-17 20:47:38,4
118,Re-contextualized hybrid matrix,,2018-08-08 22:37:13,4
119,Operative dedicated policy,Maecenas tincidunt lacus at velit.,2018-10-09 13:43:38,4
120,Progressive client-driven monitoring,,2018-09-30 04:26:45,4
121,Diverse local flexibility,Nunc purus.,2018-07-21 14:00:51,4
122,Adaptive optimal installation,,2018-12-09 20:23:41,4
123,Profound clear-thinking encryption,"Fusce lacus purus, aliquet at, feugiat non, pretiu",2019-01-20 18:45:54,4
124,Distributed optimal toolset,,2018-08-22 22:51:40,4
125,Virtual methodical policy,"Proin leo odio, porttitor id, consequat in, conseq",2018-12-14 23:02:40,4
126,Profit-focused coherent frame,,2018-09-17 00:20:27,4
